"","gene","colon","heart","jejunum","kidney","liver","lung","cluster","membership"
"85","Ankrd65",-0.645046933689254,-0.645046933689254,-0.645046933689254,1.34914232229942,-0.645046933689254,1.2310454124576,1,0.437034446881487
"86","Ano3",-0.510635898418448,-0.45247065186165,0.0412744280004648,1.98791591862199,-0.612856308276526,-0.453227488065832,1,0.923634959674418
"87","Aoah",-0.401849729777635,-0.354903238506744,-0.402746812436383,2.04018774746063,-0.449930400289328,-0.430757566450542,1,0.980723433858884
"88","Ap1g1",0.473095681780807,-1.55862956068765,-0.186361037086301,1.29832379927257,-0.572736559877169,0.546307676597744,1,0.420739853765506
"89","Aph1c",-0.498876471940029,-0.501966957008538,-0.568862963014384,1.95950889444946,-0.555385832208817,0.165583329722308,1,0.9466713652371
"90","Apmap",-0.480819095658256,-0.212270928336058,-1.03926561310255,1.80689092059409,-0.470885262751242,0.396349979254013,1,0.841836845413379
"91","App",-0.587342871159711,-0.528987243857789,-0.170931613181107,1.5135075332909,-1.1205167172134,0.894270912121107,1,0.543116415193279
"92","Ar",-0.60251867525365,-0.220750310301581,-0.653518400432742,1.98892163985957,-0.448686194361894,-0.063448059509699,1,0.964278260083021
"93","Arhgap42",-0.208915942152218,-1.51652584079043,-0.148041591334717,1.36018439471463,0.827940869783436,-0.314641890220694,1,0.442424904094994
"94","Arid1b",-0.0152394147430977,-0.0876846325466904,-0.563930948562548,1.22818118060075,-1.50705790960943,0.945731724861013,1,0.359684712122423
"95","Arl3",-0.777786094468145,0.613514422478412,-1.0023920427124,1.64341289287401,-0.554134158585852,0.0773849804139769,1,0.660718670896208
"96","Arl6",-0.570140649655959,-0.321455849466178,-0.904018158662513,1.52434899610819,-0.699209835094659,0.970475496771122,1,0.579248150231626
"97","Arl6ip1",-0.393991591035135,-1.35938039123109,0.391799199788259,1.67154175910902,-0.180051692918159,-0.129917283712897,1,0.650614113963888
"98","Arl8a",-0.644206377109995,-0.548763287615258,0.591574368830768,1.54045597630018,-1.21785335479549,0.278792674389789,1,0.540898218908585
"99","Armc12",-0.408248290463863,-0.408248290463863,-0.408248290463863,2.04124145231932,-0.408248290463863,-0.408248290463863,1,0.98203568594294
"100","Arnt2",-0.434194463454195,-0.455780542631252,-0.206491192333422,2.03058436280362,-0.494802778538243,-0.439315385846505,1,0.967162296914154
"101","Arsg",-0.434613152534038,-0.842807383883995,-0.3385111038843,1.94318711438933,0.116258954023965,-0.443514428110963,1,0.905285693677316
"102","Arxes1",-0.483064969229659,-0.46591693813298,-0.550566877789852,1.9608777030004,-0.614716671519585,0.15338775367168,1,0.946554574135182
"103","Asb13",-0.601865436381847,-0.931206096607501,-0.240082288638194,1.90636801903388,0.120290816777007,-0.25350501418335,1,0.874436718433296
"104","Asb9",-0.408905639275557,-0.408905639275557,-0.405617129248825,2.04123968635105,-0.408905639275557,-0.408905639275557,1,0.981928325434153
"105","Ascc1",-0.0905495604801171,-0.430061758678738,-0.670244699432289,1.93663263534858,-0.778463429875136,0.0326868131177037,1,0.93163265319175
"106","Asic2",0.550862756441295,-0.673877568994595,0.228512799411625,1.63546320189875,-0.872521541798943,-0.868439646958134,1,0.591164381060652
"107","Atg4a",0.505349330071752,-0.809708175668232,-0.590094738026698,1.72530715604249,-0.873105337658628,0.0422517652393125,1,0.733105110193023
"108","Atp11a",-0.530118677922013,-0.416018583902876,-0.573939085095893,1.96724069965594,-0.57463965186385,0.127475299128691,1,0.951311275068174
"109","Atp1b1",0.0848337978065518,-0.749575594771397,1.09945819940948,1.30017659626017,-0.983086635732297,-0.75180636297251,1,0.335192122153157
"110","Atp4a",-0.420119370816601,-0.434995212497846,-0.423744531387737,2.03929489802767,-0.321632568906154,-0.438803214419333,1,0.980581615265667
"111","Atp5if1",0.244240851733354,-0.569497116998059,0.324717981813134,1.73164849361756,-0.948016875147244,-0.783093335018742,1,0.67006340485118
"112","Atp5me",0.485842862138873,0.598666090361804,-0.718021503917919,1.38406176690177,-0.40508183187523,-1.34546738360929,1,0.48013936162929
"113","Atp5mf",0.268020069877799,1.02908567022482,-0.556179248261786,1.11168045278026,-0.374985553791335,-1.47762139082976,1,0.334786294872354
"114","ATP6",-0.550885806213475,0.585164402400989,-0.922875559573227,1.65911713693562,0.0906011373337694,-0.861121310883673,1,0.667034889297907
"115","Atp6-ps",-0.402877416912794,0.221816085808118,-0.980510939070741,1.72357660760142,0.30994831545103,-0.871952652877034,1,0.729818466598336
"116","Atp6ap1",-0.586450564072278,0.555553213083421,-0.912930229204735,1.31985868090909,-1.11031380147082,0.734282700755314,1,0.417217447400845
"117","Atp6v0a4",-0.416041448780673,-0.412060165789737,-0.419602732484709,2.04096579443409,-0.417562082440294,-0.375699364938678,1,0.982958975623523
"118","Atp6v0c",-0.657533294793179,-0.217126195593042,-0.172630917387838,1.97476232543791,-0.180084388422821,-0.747387529241026,1,0.913049728870497
"119","Atp6v1b1",-0.428761448108874,-0.427111874609305,-0.429809663318589,2.0393166545333,-0.432532406122778,-0.321101262373754,1,0.983534825641851
"120","Atp6v1b2",-0.444022773287123,-0.364398550759655,-0.228850887330011,1.96131793451915,-0.876743523511007,-0.047302199631358,1,0.926091070974408
"121","Atp6v1c1",-0.51594099216627,-0.475039813198989,-0.373631591633644,1.90693630119092,-0.812030622330714,0.269706718138696,1,0.895516799134068
"122","Atp6v1g1",0.284423546720458,-0.38805431474058,-0.691218188699134,1.46442920161705,-1.31509945418205,0.645519209284261,1,0.520934922874164
"123","Atxn2",-0.535901617491288,0.641273325910118,-1.69469043554546,1.12853181953565,0.388279410595131,0.0725074969958489,1,0.382288516136836
"124","Atxn7l2",-0.255864028794519,-0.419597973988116,-0.048261231395374,1.88746798222476,-1.09003361285978,-0.0737111351869705,1,0.851114905902315
"125","Aup1",0.118488684326631,-1.3124212970308,-0.0917586524983394,1.40797143262,0.73423132190388,-0.85651148932137,1,0.466005053280659
"126","AW822252",-0.375000851917664,-0.398340302248755,-0.417114775498653,2.04074158714897,-0.442399038427125,-0.407886619056773,1,0.982286722261686
"127","B3galnt1",-0.372675027373804,-0.148794029377752,-0.797406032859231,1.78399486464877,-0.907952884186226,0.442833109148243,1,0.804747457125683
"128","B4galt5",-0.314824639996171,-0.835486195929253,1.04687877280518,1.46854008795415,-0.778791083890208,-0.586316940943705,1,0.44692775056693
